2024.03.26.13.02.38,127.0.0.1,53918,login
2024.03.26.13.02.57,127.0.0.1,53918,loginAttempt:solson16:password123
2024.03.26.13.03.29,127.0.0.1,53920,login
2024.03.26.13.03.35,127.0.0.1,53920,loginAttempt:solson16:password123
2024.03.26.13.03.35,127.0.0.1,53920,Successful Login Attempt from /127.0.0.1 on port 53920 to account solson16
2024.03.26.13.04.54,127.0.0.1,53925,register
2024.03.26.13.05.04,127.0.0.1,53925,registerAttempt:newUser28:Password123
2024.03.26.13.05.04,127.0.0.1,53925,Account Created for newUser28 by /127.0.0.1 on port 53925
2024.03.26.13.05.10,127.0.0.1,53925,Error: java.io.EOFException
2024.03.26.13.19.26,127.0.0.1,53966,login
2024.03.26.13.19.38,127.0.0.1,53966,loginAttempt:solson16:password123
2024.03.26.13.19.38,127.0.0.1,53966,Successful Login Attempt from /127.0.0.1 on port 53966 to account solson16
2024.03.26.13.23.00,127.0.0.1,53966,Error: java.io.EOFException
2024.03.26.13.23.56,127.0.0.1,53981,login
2024.03.26.13.24.03,127.0.0.1,53981,loginAttempt:solson16:password123
2024.03.26.13.24.03,127.0.0.1,53981,Successful Login Attempt from /127.0.0.1 on port 53981 to account solson16
2024.03.26.13.24.34,127.0.0.1,53981,Error: java.io.EOFException
2024.03.26.13.24.46,127.0.0.1,53987,login
2024.03.26.13.24.52,127.0.0.1,53987,loginAttempt:whonig:password
2024.03.26.13.24.58,127.0.0.1,53987,loginAttempt:solson16:password123
2024.03.26.13.24.58,127.0.0.1,53987,Successful Login Attempt from /127.0.0.1 on port 53987 to account solson16
2024.03.26.13.25.07,127.0.0.1,53987,Error: java.io.EOFException
2024.03.26.13.25.12,127.0.0.1,53988,login
2024.03.26.13.25.20,127.0.0.1,53988,loginAttempt:solson16:password123
2024.03.26.13.25.20,127.0.0.1,53988,Successful Login Attempt from /127.0.0.1 on port 53988 to account solson16
2024.03.26.13.25.59,127.0.0.1,53988,Error: java.io.EOFException
2024.03.26.13.26.08,127.0.0.1,53989,login
2024.03.26.13.26.15,127.0.0.1,53989,loginAttempt:solson16:password123
2024.03.26.13.26.15,127.0.0.1,53989,Successful Login Attempt from /127.0.0.1 on port 53989 to account solson16
2024.03.26.13.26.26,127.0.0.1,53990,login
2024.03.26.13.26.31,127.0.0.1,53990,loginAttempt:solson16:password123
2024.03.26.13.26.31,127.0.0.1,53990,Successful Login Attempt from /127.0.0.1 on port 53990 to account solson16
2024.03.26.13.27.26,127.0.0.1,53990,Error: java.io.EOFException
2024.03.26.13.29.35,127.0.0.1,54003,login
2024.03.26.13.29.40,127.0.0.1,54003,loginAttempt:solson16:password123
2024.03.26.13.29.40,127.0.0.1,54003,Successful Login Attempt from /127.0.0.1 on port 54003 to account solson16
2024.03.26.13.30.34,127.0.0.1,54003,Error: java.io.EOFException
2024.03.26.13.30.41,127.0.0.1,54006,login
2024.03.26.13.30.49,127.0.0.1,54006,loginAttempt:solson16:password123
2024.03.26.13.30.49,127.0.0.1,54006,Successful Login Attempt from /127.0.0.1 on port 54006 to account solson16
2024.03.26.13.34.07,127.0.0.1,54006,Error: java.io.EOFException
2024.03.26.13.34.25,127.0.0.1,54019,login
2024.03.26.13.34.31,127.0.0.1,54019,loginAttempt:solson16:password123
2024.03.26.13.34.32,127.0.0.1,54019,Successful Login Attempt from /127.0.0.1 on port 54019 to account solson16
2024.03.26.13.35.16,127.0.0.1,54019,Error: java.io.EOFException
2024.03.26.13.35.27,127.0.0.1,54024,login
2024.03.26.13.36.11,127.0.0.1,54024,loginAttempt:solson16:password123
2024.03.26.13.36.11,127.0.0.1,54024,Successful Login Attempt from /127.0.0.1 on port 54024 to account solson16
2024.03.26.13.36.26,127.0.0.1,54024,Error: java.io.EOFException
2024.03.26.13.37.15,127.0.0.1,54032,login
2024.03.26.13.40.38,127.0.0.1,54032,loginAttempt:solson16:password123
2024.03.26.13.40.38,127.0.0.1,54032,Successful Login Attempt from /127.0.0.1 on port 54032 to account solson16
2024.03.26.13.42.09,127.0.0.1,54032,Error: java.io.EOFException
2024.03.26.13.42.20,127.0.0.1,54045,login
2024.03.26.13.42.28,127.0.0.1,54045,loginAttempt:solson16:password123
2024.03.26.13.42.28,127.0.0.1,54045,Successful Login Attempt from /127.0.0.1 on port 54045 to account solson16
2024.03.26.13.44.21,127.0.0.1,54045,Error: java.io.EOFException
2024.03.26.13.44.32,127.0.0.1,54046,login
2024.03.26.13.44.38,127.0.0.1,54046,loginAttempt:solson16:password123
2024.03.26.13.44.38,127.0.0.1,54046,Successful Login Attempt from /127.0.0.1 on port 54046 to account solson16
2024.03.26.13.44.43,127.0.0.1,54046,fetchFile:solson16:textFile.txt
2024.03.26.13.44.53,127.0.0.1,54046,Error: java.io.EOFException
2024.03.26.13.02.57,127.0.0.1,53918,Successful Login Attempt from /127.0.0.1 on port 53918 to account solson16
